54050;8650
63845;13690
89593;6290
63868;16390
63850;17890
87194;13990
61299;9900
73084;6060
73224;12890
57565;9390
63816;20790
88161;13850
92427;18120
73080;22580
90149;7390
90344;6570
85037;2900
67920;7390
67923;8890
73914;6900
80505;12900
64811;9900
89667;13590
63841;29490
57569;8900
72276;21590
72247;5790
71496;8060
71782;24790
63871;9590
80431;11790
62978;15690
73081;26190
72984;16290
63815;3890
89940;4190
92085;19890
66742;5360
73911;20590
66743;12590
24175;4330
22159;4930
32358;4890
51569;4890
72987;29390
89566;15690
70511;22840
4025;34590
13174;17320
2043;18790
11071;54900
26651;8830
21849;12390
32350;18790
63156;12120
60669;9530
60670;10490
71659;9990
60671;17390
1418;6230
10736;3460
60164;4690
37237;5650
22550;4490
1595;8240
63443;11690
29493;9190
63864;13840
89494;4190
91527;4490
63168;8090
57955;5310
57567;17990
1573;17890
31612;27150
2041;7690
1574;9090
41889;10050
12908;3390
10841;3790
10842;4290
32274;4790
33944;11150
12187;11950
29485;12640
31951;7890
65725;17390
29293;27390
32222;42540
32221;47650
29489;60650
74832;9490
63877;35490
11014;7990
11015;11970
29499;17900
33116;20270
28594;30790
44531;34900
72610;56290
83109;30390
37655;14720
63155;25780
63814;13290
70920;18900
74425;16690
5154;17890
54286;14950
53818;14090
54013;18290
73000;26900
2033;44390
2824;16690
41546;9790
42017;14990
27420;16490
99294;27900
88697;65070
27939;4790
60420;6390
51720;8390
25521;8690
35458;29790
75956;29750
40424;37690
92428;37690
2122;19950
95481;19950
95990;22900
22801;8790
27555;13850
29497;11170
46078;23390
72932;8890
1131;22520
28593;22290
37443;24290
44570;25990
80559;9890
40245;14890
73086;34790
47384;6590
33006;39500
13873;12790
1559;7470
4033;8750
13888;4730
89493;5290
36157;9090
83477;8190
33945;3830
76470;9590
14440;6690
21037;4030
34790;4790
64821;3990
35452;7390
5256;9170
5502;7890
32364;6890
63861;10950
72989;13170
73091;12290
71489;21800
63878;34650
57570;6060
32197;6090
27791;5890
37610;6390
38138;8420
79696;9190
57571;7790
64860;8390
